_c0,message_id,type,type_id,org,comment,ticket_id,coords,photo,after_photo,address,district,subdistrict,province,timestamp,problem_type_abdul,status,star,count_reopen,state
856,290976,"ถนน,ทางเท้า",6,กรุงเทพมหานคร,บริเวณหน้าปากซอยพหลโยธิน 24 ทางเท้าพังทลาย คาดว่าเกิดจากบริเวณนี้ชอบมีมอเตอร์ไซค์ลักลอบขับขี่ขึ้นทางเท้าบ่อยๆ อาจทำให้คนใช้ทางเท้าประสบอุบัติเหตุได้ และทางม้าลายชำรุดด้วย โดยในส่วนของทางม้าลายนี้แจ้งไว้นานหลายเดือนแล้ว แต่ยังไม่ได้รับการแก้ไขแต่อย่างใด,2022-BDNG42,"['100.56588', '13.82297']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/52df8c47e9b510f797fcd355b4804e1ba784cca7.jpg,,496/2 ซอย พหลโยธิน 24 แขวง ลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จตุจักร,จอมพล,กรุงเทพมหานคร,2022-12-09 08:19:13.799207+00,"{ถนน,ทางเท้า}",inprogress,,0,กำลังดำเนินการ
915,290824,แสงสว่าง,91,กรุงเทพมหานคร,ไฟฟ้าดับ ซอยบางกระดี่ 43 แยกขวาทางเข้าหมู่บ้านธารา เกือบทั้งซอยค่ะ ประมาณ 10 ดวง ติดอยู่แค่ 1 ดวงค่ะ,2022-P3HQUB,"['100.40634', '13.60362']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/8010e86eb0e26e0e0830d1bac2ebb771d5ff1530.jpg,,40/5 ถ. บางกระดี่ แขวง แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,บางขุนเทียน,แสมดำ,กรุงเทพมหานคร,2022-12-09 05:10:42.64347+00,{แสงสว่าง},inprogress,,0,รอรับเรื่อง
2,292260,กีดขวาง,91,กรุงเทพมหานคร,จอดรถขวางทางเข้าออกหน้าบ้านครับ,2022-9QGRF8,"['100.61218', '13.89909']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/3a6646fb49ecd2ab3753693be735d9046562042b.jpg,,1/127 พหลโยธิน 54 แยก 2 แขวง คลองถนน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,สายไหม,คลองถนน,กรุงเทพมหานคร,2022-12-11 15:20:49.800401+00,{กีดขวาง},report,,0,รอรับเรื่อง
📸,,,,,,,,,,,,,,,,,,,
111,292068,ถนน,12,กรุงเทพมหานคร,ถนนเป็นหลุม,2022-EMZGVX,"['100.69574', '13.79763']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/1d8c1ce9d75f22e42654cdc5b2bcd85b381e06d6.jpg,,ชุมชนเกาะจวน แขวง คันนายาว เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย,คันนายาว,คันนายาว,กรุงเทพมหานคร,2022-12-11 06:52:37.765285+00,{ถนน},inprogress,,0,กำลังดำเนินการ
171,291964,สายไฟ,12,กรุงเทพมหานคร,สายไฟระเกระกะบางอันเคยมียื่นมาจะทิ่มสำหรับคนเดินไม่ระวังอาจโดนปลายสายแหลมๆทิ่มไก่ครับ,2022-N8BWHB,"['100.57762', '13.72511']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/f94d670296039a7a3fbcb2d40175cfccf71ac789.jpg,,43 ซอยสุขุมวิท 53 ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,วัฒนา,คลองตันเหนือ,กรุงเทพมหานคร,2022-12-11 02:35:36.974199+00,{สายไฟ},inprogress,,0,รอรับเรื่อง
194,291922,"แสงสว่าง,ถนน",12,กรุงเทพมหานคร,ไฟฟ้าถนนดับมาสามวันแล้ว ถ.ลูกหลวง แขวง/เขต ดุสิต ไฟฟ้าสามเสน แจ้งไปก็ไม่มีใครมาทำซ่อมแก้ไขเลย มึดมาก,2022-442AAC,"['100.50599', '13.76760']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/0c7fe15d12df697d802b2d74e79cdbdd2d3347f3.jpg,,173 ถนนนครราชสีมา แขวง ดุสิต เขตดุสิต กรุงเทพมหานคร 10300 ประเทศไทย,ดุสิต,ดุสิต,กรุงเทพมหานคร,2022-12-11 00:55:29.55703+00,"{แสงสว่าง,ถนน}",inprogress,,0,กำลังดำเนินการ
419,291603,แสงสว่าง,12,กรุงเทพมหานคร,ไฟถนนเสีย,2022-8ZKZTQ,"['100.61058', '13.68534']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/540a353eb816b4a7bc0a5cff607eac14cc8ccca6.jpg,,ซอยวชิรธรรมสาธิต แขวง บางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,พระโขนง,บางจาก,กรุงเทพมหานคร,2022-12-10 07:18:17.354161+00,{แสงสว่าง},inprogress,,0,กำลังดำเนินการ
"ในการจัดการปัญหาดังกล่าว🥀🎁✌️✌️👏👏👏\"",2022-7V4UWA,"['100.64944', '13.80841']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/97b64dba16bc5ae798918231080944bc04f52677.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/f3ee2630090c03252cba0a696e53a99ec8c4f818.jpg,32/212 หมู่ที่ 8 ซอยนวลจันทร์ ถนนนวมินทร์ แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร แขวง นวมินทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย,บึงกุ่ม,นวมินทร์,กรุงเทพมหานคร,2022-12-10 00:01:55.580793+00,{ความสะอาด},finish,4,0,เสร็จสิ้น,,,,,
739,291184,แสงสว่าง,12,กรุงเทพมหานคร,ไฟทางเสีย,2022-KGXWGA,"['100.82665', '13.78949']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/d2372e8e6d03db0793e7ce4ccc783148fa09edeb.jpg,,56/3 ???????????? แขวง ลำผักชี เขต หนองจอก กรุงเทพมหานคร 10530 ประเทศไทย,หนองจอก,ลำผักชี,กรุงเทพมหานคร,2022-12-09 13:15:29.40819+00,{แสงสว่าง},inprogress,,0,กำลังดำเนินการ
