_c0,message_id,type,type_id,org,comment,ticket_id,coords,photo,after_photo,address,district,subdistrict,province,timestamp,problem_type_abdul,status,star,count_reopen,state
🚩ในซ.นวมินทร์ 42 เข้ามา 65 เมตร,,,,,,,,,,,,,,,,,,,
717,291212,"เสนอแนะ,เสียงรบกวน,ป้าย",12,กรุงเทพมหานคร,ลานชุมชนกีฬาหมู่บ้านอมรพันธุ์นครสวนสยาม มีการใช้เกินเวลาปิด ส่งเสียงดังรบกวนชาวบ้านจนถึงดึกทุกคืน ตามกฎของลานกีฬา ต้องปิดไฟและงดใช้สถานที่หลังเวลา 21น. แต่ในปัจจุบันพบว่า มีคนกลุ่มหนึ่ง ใช้สถานที่เกินเวลา เปิดไฟเล่นตะกร้อส่งเสียงดังมาก (ตะโกนสุดเสียง) จนถึง 22-23 น.ทุกคืนโดยไม่มีใครห้ามปราม ได้เคยแจ้งปัญหาไปแล้วเมื่อ 17 กย. 2565 และทางเจ้าหน้าที่ ได้กรุณามาช่วยติดป้ายเตือนเวลาเปิดปิดสนามไว้เห็นชัดเจน แต่พบว่า จนถึงปัจจุบัน ยังมีการฝ่าฝืน เล่นตะกร้อเกินเวลาทุกคืน และส่งเสียงดังมาก ตะโกนสุดเสียง ทำให้ชาวบ้านโดยรอบเดิอดร้อน แม้จะปิดประตูหน้าต่างแล้ว เสียงก็ยังดังมากจนนอนไม่หลับ และมีการใช้ไฟสปอร์ทไลท์ของทางราชการ เปิดเกินเวลา โดยไม่มีใครดูแล นอกจากนี้ ในช่วงดึกยังมีกลุ่มวัยรุ่น มักมามั่วสุมใช้สนามตอนกลางคืนบ่อยครั้ง โดยเฉพาะที่นั่งบริเวณสนามเปตอง บางครั้งมีการดื่มแอลกอฮอล์ สุ่มเสี่ยงต่อการเกิดอาชญากรรม อยากเสนอแนะให้มีการกั้นรั้ว และล็อคประตูตามเวลาเปิดปิดสนาม เช่นเดียวกับสวนสาธาณะแห่งอื่นๆ เนื่องจากชาวบ้านโดยรอบเดือนร้อนจากมลภาวะทางเสียงมานานมาก และไม่มีใครสนใจป้ายเตือนเวลาเปิดปิดสนาม,2022-8ZQH8G,"['100.69135', '13.80019']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/2ae0dd5bf4db6b950025aa89f42cb6daefa97e4e.jpg,,6/15 ซอย สวนสยาม 9 แขวง คันนายาว เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย,คันนายาว,คันนายาว,กรุงเทพมหานคร,2022-12-09 15:00:05.022745+00,"{เสนอแนะ,เสียงรบกวน,ป้าย}",inprogress,,0,กำลังดำเนินการ
870,290943,,12,กรุงเทพมหานคร,ดินร่วงบนถนน,2022-3NPQNM,"['100.53962', '13.67763']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/73396edcb24d719beb35125e524849f336e5c7e3.jpg,,36 ถ. วงแหวนอุตสาหกรรม แขวง บางโพงพาง เขต ยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย,ยานนาวา,บางโพงพาง,กรุงเทพมหานคร,2022-12-09 07:37:32.501984+00,{},inprogress,,0,กำลังดำเนินการ
1174,290332,ความปลอดภัย,12,กรุงเทพมหานคร,ขอให้เจ้าหน้าที่เทศกิจช่วยดูแลตรวจสอบบุคคลที่มาดำเนินการสร้างความเดือดร้อนในการเช็ดกระจกรถของประชาชนผู้ใช้ทางอาจทำให้เกิดเสียงอุบัติเหตุและสร้างความเดือดร้อนแก่ผู้ใช้รถได้,2022-LRX94V,"['100.55907', '13.72023']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/eaf3c2f92fb5c43bece4c6c397adf52c9e053097.jpg,,แยกพระรามที่ ๔ 1 ถนนพระรามที่ ๔ แขวง คลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตย,คลองเตย,กรุงเทพมหานคร,2022-12-08 10:15:07.134876+00,{ความปลอดภัย},inprogress,,0,รอรับเรื่อง
บริเวณ เตาปูน ใต้รถไฟ,,,,,,,,,,,,,,,,,,,
1247,290126,"ถนน,ความปลอดภัย",12,กรุงเทพมหานคร,ถนนเป็นหลุมแถวหน้าบริเวรโรงเรียนกับโรงพัก กลัวจะเป็นอันตรายต่อชาวบ้านแถวนี้,2022-LWMZWW,"['100.66003', '13.92978']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/dca14c3225c00a5360036119892f9d6a6828bb2a.jpg,,WMH6+W3H ซอย พหลโยธิน 54/1 แยก 10 แขวง สายไหม เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,สายไหม,สายไหม,กรุงเทพมหานคร,2022-12-08 06:19:12.643442+00,"{ถนน,ความปลอดภัย}",inprogress,,0,กำลังดำเนินการ
248,291829,ถนน,12,กรุงเทพมหานคร,ถนนเป็นหลุมค่ะ,2022-P72X38,"['100.62318', '13.88740']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/e5793d1cd8bbdfe8913445d4d6f40823b91c3f35.jpg,,144/145 หมู่บ้านสัมพันธ์วิลล่า 3 5 ซ. พหลโยธิน 52 แยก 35 แขวง คลองถนน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,สายไหม,คลองถนน,กรุงเทพมหานคร,2022-12-10 13:51:08.51465+00,{ถนน},report,,0,รอรับเรื่อง
310,291746,"ถนน,แสงสว่าง",12,กรุงเทพมหานคร,ต้องการไฟสองถนนเพิ่มหนึ่งจุด เพราะว่าเป็นทางโค้งหักศอก ตอนกลางคืนมืดมาก,2022-E96FRY,"['100.59747', '13.83111']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/429654161d6b464a3d839c12ee96796862d3b083.jpg,,67/302 ซอย ลาดปลาเค้า แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,2022-12-10 11:49:41.694839+00,"{ถนน,แสงสว่าง}",inprogress,,0,กำลังดำเนินการ
431,291591,ทางเท้า,6,กรุงเทพมหานคร,ตั้งโต๊ะบนทางเท้าเลยครับ,,,,,,,,,,,,,,
458,291554,"ถนน,ความปลอดภัย",12,กรุงเทพมหานคร,มีเด็กมายืนขายของกลางถนนในวันเสาร์ ใส่ชุดนักเรียนด้วย อันตรายกับเด็กเองค่ะ น่าจะเป็นผู้เยาว์ด้วย,2022-C6ER7L,"['100.56117', '13.73559']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/42f7a5fbf91755bf19a8c0aa9ff7c566538eaac3.jpg,,6/2 ถ. รัชดาภิเษก แขวง คลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตย,คลองเตย,กรุงเทพมหานคร,2022-12-10 06:36:56.845687+00,"{ถนน,ความปลอดภัย}",inprogress,,0,รอรับเรื่อง
528,291466,ทางเท้า,6,กรุงเทพมหานคร,Braille block ไม่ต่อเนื่อง 5 จุด ตรงฟุตบาท แยกราชเทวี ตั้งแต่ซอยเพชรบุรี 16 ไปจนถึงทางขึ้นบีทีเอสราชเทวี,2022-9ZCDUT,"['100.53138', '13.75321']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/688e8ce5d25f23be14feedc3310a17bf6ddc006e.jpg,,486 ถ. เพชรบุรี แขวง ถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ราชเทวี,ถนนเพชรบุรี,กรุงเทพมหานคร,2022-12-10 05:09:21.199483+00,{ทางเท้า},inprogress,,0,กำลังดำเนินการ
617,291337,ความสะอาด,12,กรุงเทพมหานคร,📣🔉🔊 แจ้งติดป้าย ❌ 🙅‍♀️🙅‍♂️🙅😤😠😡,,,,,,,,,,,,,,
660,291285,ป้าย,6,กรุงเทพมหานคร,ป้ายกองโจร,2022-CUNPCN,"['100.41822', '13.69245']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/dd4fd07858e68058651faacafdd8f6fdbccce8b5.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/0d2cc5a83b227cd2e942179be45f6a4511d1675a.jpg,36 239 สุขาภิบาล 1 แขวง บางแค เขตบางแค กรุงเทพมหานคร 10160 ประเทศไทย,บางแค,บางแค,กรุงเทพมหานคร,2022-12-10 00:08:52.601842+00,{ป้าย},finish,5,0,เสร็จสิ้น
664,291280,ป้าย,6,กรุงเทพมหานคร,ป้ายกองโจร,2022-M7VAZH,"['100.42054', '13.69417']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/e9f23a1a68044bd9966e2b670370b2b6f3214867.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/964fb474772de3c0d099efa7ca86b554bd3c6323.jpg,47/11 ซอย สุขาภิบาล 1 แขวง บางแค เขตบางแค กรุงเทพมหานคร 10160 ประเทศไทย,บางแค,บางแค,กรุงเทพมหานคร,2022-12-10 00:06:10.64547+00,{ป้าย},finish,5,0,เสร็จสิ้น
692,291244,ทางเท้า,6,กรุงเทพมหานคร,ทางเท้าเเตกไม่เรียบ,2022-7T6UYA,"['100.43240', '13.71259']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/c6605f99c1a8499af12df17e7c117507d61cc217.jpg,,661 ซอย เพชรเกษม 35/1 แขวง บางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160 ประเทศไทย,ภาษีเจริญ,บางหว้า,กรุงเทพมหานคร,2022-12-09 17:27:35.708709+00,{ทางเท้า},inprogress,,0,กำลังดำเนินการ
696,291240,ทางเท้า,6,กรุงเทพมหานคร,ทางเท้าไม่มีปูนวางไว้ เเละ ทางเท้าเเตก,2022-9EP99Y,"['100.48473', '13.76728']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/6694ade055e0d987820edb03fd63ecdfa29a58e7.jpg,,26/1 ถ. อรุณอมรินทร์ แขวง อรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,บางกอกน้อย,อรุณอมรินทร์,กรุงเทพมหานคร,2022-12-09 17:00:15.85486+00,{ทางเท้า},inprogress,,0,กำลังดำเนินการ
714,291215,,6,กรุงเทพมหานคร,แผงลอยวางของเกะกะสกปรก,2022-B4LDZP,"['100.53365', '13.74547']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/d268f5f2645d40a35d72744c8693c50416d39bfb.jpg,,322 สยามสแควร์ ซอย 4 แขวง ปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,2022-12-09 15:10:52.852055+00,{},report,,0,รอรับเรื่อง
4. เสมือนฝ่ายรักษาเอื้อประโยชน์ให้ บางบริษัทส่งของ,,,,,,,,,,,,,,,,,,,
830,291040,"ความปลอดภัย,ท่อระบายน้ำ,แสงสว่าง",6,กรุงเทพมหานคร,ฝาท่อ มืดอยู่แล้วตอนกลางคืนสะดุดได้เลย อันตรายมาก,2022-MHMG3V,"['100.60146', '13.66006']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/a842d82c05e01113defdfcf927e94f0ebc36248d.jpg,,4485 ถ. สุขุมวิท แขวง บางนา เขตบางนา กรุงเทพมหานคร 10260 ประเทศไทย,บางนา,บางนาใต้,กรุงเทพมหานคร,2022-12-09 09:23:47.409983+00,"{ความปลอดภัย,ท่อระบายน้ำ,แสงสว่าง}",inprogress,,0,รอรับเรื่อง
996,290644,จราจร,91,กรุงเทพมหานคร,สุขุมวิทขาออกมุ่งหน้าบางนาติดขัดตลอดเป็นเพราอะไร เจ้าหน้าช่วยแก่ไขปัญหาแบบมีประวิทธิภาพหน่อยครับ ออกมาจากป้อมตามแยกมาดูด้วย,2022-FPUCTV,"['100.59929', '13.70906']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/3a6144cde8a08c4c63548ba9a53960e4a5c94b14.jpg,,41 ซอยสุขุมวิท 56 ถนนสุขุมวิท แขวงพระโขนง เขตพระโขนง กรุงเทพมหานคร 10250 แขวง พระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตย,พระโขนง,กรุงเทพมหานคร,2022-12-09 01:31:05.477672+00,{จราจร},inprogress,,0,รอรับเรื่อง
1166,290342,"ทางเท้า,ความสะอาด,สัตว์จรจัด,สะพาน",5,กรุงเทพมหานคร,ทางเดินเท้าห้างบิ๊กซีสะพานควายมีชายเร่ร่อนชอบมานั่งและนอนทางเดินเท้ากินเศษอาหารจากกองขยะและโยนเศษอาหารให้นกกิน ทำให้ทางเดินเท้าสกปรกและมีนกพิราบเต็มทางเดินทางบ้างตัวก็ดูไม่สบายทำให้เดินไม่สะดวก,2022-DM4LF7,"['100.54908', '13.79149']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/83aab322ef144f81ef730f87526596a84076aa90.jpg,,618 1 ถ. พหลโยธิน แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร 10400 ประเทศไทย,พญาไท,สามเสนใน,กรุงเทพมหานคร,2022-12-08 10:28:34.842456+00,"{ทางเท้า,ความสะอาด,สัตว์จรจัด,สะพาน}",finish,5,0,เสร็จสิ้น
"จากภาพที่ผมกังวลคือ ทางประตูออกลิฟต์นั้นหันหน้าออกทางถนน แต่ไม่มีที่กั้นเลย ซึ่งสำหรับผู้ใช้วีลแชร์ อาจจะเกิดอันตรายได้ครับ ทั้งนี้การติดที่กั้นอาจจะทำให้ผู้ใช้วีลแชร์ไม่สามารถใช้งานได้โดยสะดวก (แคบเกิน) หรือ กีดขวางทางสัญจร เลยอยากจะให้หน่วยงานที่รับผิดชอบช่วยตรวจสอบและดำเนินการหาแนวทางการแก้ไข เพื่อให้ประชานชน\"\"ทุกคน\"\" ไม่ว่าจะผู้ใช้ทั่วไป หรือ คนพิการได้รับ\"\"ประโยชน์\"\" สูงสุดด้วยครับ",,,,,,,,,,,,,,,,,,,
155,291986,ถนน,12,กรุงเทพมหานคร,ผู้รับเหมาแจ้งปิดถนน 10-18 ธค เพื่อทำถนนคอนกรีต ทำให้คนในหมู่บ้านไม่สามารถออกเดินทางไปทำงาน ธุระ ได้ แล้วไม่มีแนวทางในการแก้ปัญหา เพื่อให้เดินทางออกไปได้,2022-C4H7FD,"['100.66508', '13.88389']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/56cebc7100c083ed377fe87825ee53dda18007ac.jpg,,14/17 สุขาภิบาล 5 แยก 7 แขวง ออเงิน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,สายไหม,ออเงิน,กรุงเทพมหานคร,2022-12-11 03:32:09.330861+00,{ถนน},report,,0,รอรับเรื่อง
212,291888,ถนน,9,กรุงเทพมหานคร,ถนนขรุขระมากไม่เรียบเลย,2022-8W2XA6,"['100.42732', '13.75558']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/e234f83f10c0667c0ec267af6221ccee661726b5.jpg,,20/3 ถนน พุทธมณฑลสาย 1 แขวง บางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย,ตลิ่งชัน,บางพรม,กรุงเทพมหานคร,2022-12-10 17:39:02.349126+00,{ถนน},inprogress,,0,กำลังดำเนินการ
410,291613,,9,กรุงเทพมหานคร,รบกวนขอข้อมูลรายละเอียดขั้นตอนต่อไปในการดำเนินการเข้าสู่กระบวนการวิฉัยของศาลค่ะ,,,,,,,,,,,,,,
463,291549,แสงสว่าง,12,กรุงเทพมหานคร,ไฟถนนเสีย,2022-GPBET4,"['100.60279', '13.70180']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/c901543509e3bd5c7bcebade1fa40ee2d02c911f.jpg,,1810 ซอย สุขุมวิท 56 แขวง บางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,พระโขนง,บางจาก,กรุงเทพมหานคร,2022-12-10 06:32:23.110596+00,{แสงสว่าง},inprogress,,0,กำลังดำเนินการ
676,291266,"ความปลอดภัย,ความสะอาด",36,กรุงเทพมหานคร,เผาขยะในที่โล่ง ส่งผลกระทบจ่อคุณภาพอากาศ เป็นอันตรายต่อสุขภาพและชีวิตผู้อยู่อาศัย กลุ่มควันฟุ้งกระจายบริเวณใกล้เคียง เกิดเหตุวันที่ 10 ธ.ค. 2565 เวลา 6:30น ช่วงเช้า,2022-D4HG6B,"['100.51934', '13.67070']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/2ea8927ab268959129c434284749f0bd0bca5d1e.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/30762fa362b7e429437da4d46d6a499002453ab7.jpg,125/2 ถ. ราษฎร์บูรณะ แขวง ราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140 ประเทศไทย,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,2022-12-09 23:35:31.973944+00,"{ความปลอดภัย,ความสะอาด}",finish,4,0,เสร็จสิ้น
"ขอบคุณครับ\"",2022-LR33CN,"['100.50276', '13.78616']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/26f02bd008b7e49e0f91830a984b734583d6ab90.jpg,,549 ถ. จรัญสนิทวงศ์ แขวง บางพลัด เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,บางพลัด,บางพลัด,กรุงเทพมหานคร,2022-12-09 07:13:33.203176+00,"{ถนน,ความปลอดภัย,แสงสว่าง}",inprogress,,0,รอรับเรื่อง,,,,,
931,290795,,5,กรุงเทพมหานคร,ช่วยกำจัดฝุ่นกับเศษหินด้วยคะงุ่นเยอะมากๆ,2022-CN88FU,"['100.58261', '13.85690']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/e465e32baae7cde27c1792720648530e1bb78548.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/6d8e852415f9c3901586bc178688ddc3b915b40b.jpg,VH4M+Q27 ซอย พหลโยธิน 49 แขวง ลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จตุจักร,ลาดยาว,กรุงเทพมหานคร,2022-12-09 04:32:06.053837+00,{},finish,,0,เสร็จสิ้น
949,290747,กีดขวาง,6,กรุงเทพมหานคร,หน้าร้านกาแฟมีรถขึ้นมาจอดบนทางเท้าเป็นประจำ,2022-Y8NWZA,"['100.46843', '13.75521']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/bd530ce5fa80106746f9a1daa2c0b9bd0f1c696c.jpg,,355/28 ถ. จรัญสนิทวงศ์ แขวง บางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,บางกอกน้อย,บางขุนศรี,กรุงเทพมหานคร,2022-12-09 03:31:06.235162+00,{กีดขวาง},inprogress,,0,กำลังดำเนินการ
1221,290181,,12,กรุงเทพมหานคร,มาเจาะวางท่อเเล้วคนในซอยปรีดีพนมยงค์16จะจอดรถตรงไหนคะ,2022-LDQNQF,"['100.59575', '13.72130']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/bf2d76c388d4f96336a4763411ff7c5a2198f90a.jpg,,19 ซอยปรีดีย์ แขวง พระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,วัฒนา,พระโขนงเหนือ,กรุงเทพมหานคร,2022-12-08 07:31:20.218416+00,{},inprogress,,0,รอรับเรื่อง
1350,289930,ท่อระบายน้ำ,12,กรุงเทพมหานคร,ฝาท่อระบายน้ำ,2022-4Y2EHH,"['100.56630', '13.81663']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/16998f6054a8919b06a1cdcfb30d57e7da2fd18c.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/4ee0448b807f8002cb60b42e8fbdde1185364b17.jpg,90 ซอย ลาดพร้าว 1 แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จตุจักร,จอมพล,กรุงเทพมหานคร,2022-12-08 02:20:57.772945+00,{ท่อระบายน้ำ},finish,,0,เสร็จสิ้น
112,292067,ถนน,91,กรุงเทพมหานคร,รถขนดินออกมาแล้วหล่นเยอะมาก ถนนสกปรกมากๆ เกิดขึ้นบ่อยครั้ง,2022-EVB44Y,"['100.40768', '13.64665']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/6d041ef06b137d69bf95e55b9c209d2c0eb699e7.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/ee5ef3a425804f12437515dbdd1036b690a8ab2d.jpg,16 Kanchanaphisek Rd แขวง แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,บางขุนเทียน,แสมดำ,กรุงเทพมหานคร,2022-12-11 06:51:13.498269+00,{ถนน},finish,,0,เสร็จสิ้น
271,291797,"ความปลอดภัย,แสงสว่าง",81,เพื่อนชัชชาติ,ไฟทางมืดมากๆ ขับรถแทบมองไม่เห็นอันตราย อยากให้เปิดไฟทางให้สว่าง,2022-FPZ672,"['100.16180', '13.51627']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/65f3069c524c7b07deb995275df35b8e6f72f14d.jpg,,G586+GP3 ถ. พระราม 2 ตำบล บางโทรัด อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000 ประเทศไทย,เมืองสมุทรสาคร,บางโทรัด,สมุทรสาคร,2022-12-10 13:10:07.601028+00,"{ความปลอดภัย,แสงสว่าง}",report,,0,รอรับเรื่อง
440,291580,แสงสว่าง,12,กรุงเทพมหานคร,ไฟถนนเสีย,2022-HZ4HXZ,"['100.60346', '13.70096']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/9b2d12d7899e7663633730261a6bdca9814e9c25.jpg,,2241/1 ถ. สุขุมวิท แขวง บางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,พระโขนง,บางจาก,กรุงเทพมหานคร,2022-12-10 07:01:58.616807+00,{แสงสว่าง},inprogress,,0,กำลังดำเนินการ
700,291236,ความสะอาด,5,กรุงเทพมหานคร,เหม็นขยะมาก,2022-8EYN24,"['100.68385', '13.70846']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/f57922cc862298c8bc6522f11585e6aec07a34d6.jpg,,98/108 เฉลิมพระเกีรยติ ร.9 ซอย 67 แขวง ประเวศ เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,ประเวศ,ประเวศ,กรุงเทพมหานคร,2022-12-09 16:50:51.208389+00,{ความสะอาด},inprogress,,0,รอรับเรื่อง
768,291138,แสงสว่าง,12,กรุงเทพมหานคร,ไฟถนนดับทั้งเส้น แฮปปี้แลนด์สาย 1,2022-87NCA6,"['100.64099', '13.77729']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/34b785afcb866640fa4b08b151f36f8b5dffe9cc.jpg,,5 ถนน แฮปปี้แลนด์สาย 1 แขวง คลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,บางกะปิ,คลองจั่น,กรุงเทพมหานคร,2022-12-09 11:35:33.305401+00,{แสงสว่าง},inprogress,,0,กำลังดำเนินการ
เกิดอุบัติเหตุได้ รบกวน,,,,,,,,,,,,,,,,,,,
🛣️ถ.นวมินทร์,,,,,,,,,,,,,,,,,,,
54,292162,,12,กรุงเทพมหานคร,แจ้งเรื่องให้มาตัดหญ้าให้หน่อยตั้งแต่วันที่ 2 ไม่เห็นมาตัดให้เลย,2022-3EQ42E,"['100.39011', '13.62932']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/3857c4bd037eec9c81916f61c8ffa3a9d11c5be2.jpg,,39/3 ถ. พระราม ๒ แขวง แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,บางขุนเทียน,แสมดำ,กรุงเทพมหานคร,2022-12-11 11:12:33.563038+00,{},inprogress,,0,กำลังดำเนินการ
เธอก่อนหน้านี้มีแมวมาคลอดลูกไว้8ตัว ก่อกวนคนในซอย,,,,,,,,,,,,,,,,,,,
284,291782,กีดขวาง,91,กรุงเทพมหานคร,มีรถมอเตอร์ไซค์มาจอดข้างทางในพื้นที่ห้ามจอด,,,,,,,,,,,,,,
313,291739,"กีดขวาง,จราจร",91,กรุงเทพมหานคร,จอดรถขวางทางจราจร,2022-P3GF6Z,"['100.58009', '13.72363']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/0235570590e10fd25c004b3a93328434f2f8a4f4.jpg,,3 1 ซอย สุขุมวิท 57 แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,วัฒนา,คลองตันเหนือ,กรุงเทพมหานคร,2022-12-10 11:41:23.473912+00,"{กีดขวาง,จราจร}",inprogress,,0,รอรับเรื่อง
693,291243,"แสงสว่าง,ความปลอดภัย",12,กรุงเทพมหานคร,ไฟตามทางมืดมากกกกกกไม่มีความสว่างเลยถ้าบ้านข้างๆไม่เปิดไฟหน้าบ้านก็มืดกลัวจะเกิดอันตรายเพราะบ้างครั้งมีคนแปลกหน้าชอบมานั่ง,2022-LLLPWU,"['100.50557', '13.77065']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/e6ccee36d029b268deee675dc8898d329dd6c9bb.jpg,,216 ถ. ศรีอยุธยา แขวง ดุสิต เขตดุสิต กรุงเทพมหานคร 10300 ประเทศไทย,ดุสิต,ดุสิต,กรุงเทพมหานคร,2022-12-09 17:26:07.337617+00,"{แสงสว่าง,ความปลอดภัย}",inprogress,,0,กำลังดำเนินการ
816,291063,"ความปลอดภัย,ท่อระบายน้ำ",9,กรุงเทพมหานคร,ฝาท่อเสียหาย ทำให้ยากและอันตรายต่อการขับรถ,2022-EXTMVA,"['100.56981', '13.73739']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/9824b4de696b9aa72d98d58af1e58808516701fa.jpg,,39 ซอย พร้อมจิตร แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,วัฒนา,คลองตันเหนือ,กรุงเทพมหานคร,2022-12-09 10:11:10.594592+00,"{ความปลอดภัย,ท่อระบายน้ำ}",inprogress,,0,กำลังดำเนินการ
1375,289890,ป้าย,91,กรุงเทพมหานคร,สร้างศาลาพักผู้โดยสารไว้นานหลายปีแล้ว แต่ไม่มีป้ายบัสสตอบ,,,,,,,,,,,,,,
เนื่องจากช่วงนี้เกิดน้ำหนุนสูง ทำให้น้ำไหลเข้าโรงเรียนตามจุดต่างๆ ทำให้น้ำท่วมโรงเรียนกระทบการจัดการเรียนการสอนของนักเรียนนะครับ ผมโทรเบอร์กลางเข้าบางขุนเทียน วันธรรมดาก่อนน้ำหนุนสูง ไม่มีคนรับเลยครับ,,,,,,,,,,,,,,,,,,,
จากสมชัยและครอบครัวสุชาติเจริญยิ่ง engineer cu freshy2514,epa2 TU 2532,,,,,,,,,,,,,,,,,,
🚩ก่อนถึง ก๋วยเตี๋ยวเรือ ลานบิน 20 เมตร,,,,,,,,,,,,,,,,,,,
422,291600,แสงสว่าง,12,กรุงเทพมหานคร,ไฟถนนเสีย,2022-GYGUTH,"['100.61030', '13.68661']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/d25dfeba827491ef0c4a6b5765717fb4ef08ba6a.jpg,,3077 44-46 ถ. สุขุมวิท แขวง บางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,พระโขนง,บางจาก,กรุงเทพมหานคร,2022-12-10 07:16:40.045803+00,{แสงสว่าง},inprogress,,0,กำลังดำเนินการ
